"id","employer_name","current_job_type","suggested_job_type","reason","description"
"10e1958b-07bd-412e-85bf-902f263494ad","Kunal Shitole","Driver","Tempo Driver","TATA 709 is a light commercial tempo vehicle, Tempo Driver is more specific","TATA 709 ड्रायव्हर. सांगली लोकल."
"4720989c-fa18-4583-a076-13ad03f3339d","Sunil Nikam","Operator","CNC Operator","Description explicitly says CNC/VMC/VTL machine operator, CNC Operator is the specific type","CNC / VMC / VTL मशीन ऑपरेटर. दहावी/बारावी/ITI फ्रेशर पाहिजेत. कोल्हापूर व सांगली येथे जागा उपलब्ध."
"ceb81515-1e10-45bc-8be4-75db7b2b5122","Changediya Group","Shop Assistant","Office Assistant","Role is Office Admin with computer/smartphone/internet skills, not shop work","Office Admin (Female Only). Freshers Can Apply. Smartphone, Internet & Computer Knowledge Mandatory. Good Communication Skill Required. Part Time 8am-2pm / 2pm-8pm. Full Time 8am-8pm. Location: Wagholi, Pune. Contact: 9055079555 / 7755079555"
"6f826ed2-1eec-435a-8619-96b43d5431c0","Wealthy Partner","Sales","Business Development","Role is Business Executive, better matched to Business Development than field Sales","Business Executive. Sterling Tower, Shahupuri, Kolhapur. दुसरा संपर्क: 8672837538."
"92c7e4f5-0c0a-4ad6-9863-30116e59c455","Sofi Sonawne","Helper","Kitchen Helper","Restaurant helper in food service context is better classified as Kitchen Helper","Restaurant मध्ये Helper पाहिजे. Food accommodation provided. Fresher/experience both accepted."
"bfcf79e1-0f8a-4a66-8f2b-8c2ce1d9affe","Sofi Sonawne","Helper","Kitchen Helper","Restaurant helper in food service context is better classified as Kitchen Helper","Restaurant मध्ये Helper पाहिजे. Food accommodation provided. Fresher/experience both accepted."
"ab091341-3a4e-4037-a424-28eb87e19874","Abhishek mengade","Operator","CNC Operator","Description specifies ITI CNC machine operator, CNC Operator is more specific","📌📢नोकरी...  📢नोकरी...  📢नोकरी...
➖➖➖➖➖➖➖➖➖➖
🔰📍सातारा शहरापासून फक्त 07 किमी अंतरावर असलेल्या ऑटोमोबाईल व फोर्जीन कंपनी मध्ये  अनुभवी मुले / पुरुष यांना नोकरीची सुवर्णं संधी..!
➖➖➖➖➖➖➖➖➖➖
👨🏻‍🎓शिक्षण - कोणताही अनुभवी आय टी आय, CNC मशीन ऑपरेटर.

💸पगार - 8 hours

Inhand- 14533 + incentive 4000 = 18533
CTC payment-24246

🔰सुविधा -
 @ PF/ESIC Available.
Rs 4000/- Incentive amount.
➖➖➖➖➖➖➖➖➖➖
📱संपर्क -
Abhishek Sir -
 +91 86695 14764"
"82f2bffe-1835-429e-944d-a531557b0760","Kolhapur Office","Mechanic","Technician","Description says Technician with training provided, not a mechanic role","Technician. Training provided. कोल्हापूर."
"23ace0bd-38fc-4432-8d73-5b2b82ccfb3b","Madhuvan Honey","Sales","Field Worker","Role is Field Executive, which is a field operations role rather than sales","Field Executive. WhatsApp CV."
"7608f241-62da-46bd-bab3-e7538faa680d","Sofi Sonawne Cafe","Helper","Kitchen Helper","Explicitly a kitchen helper in a cafe, Kitchen Helper is more specific","Kitchen helper in cafe. Free stay and food. Freshers welcome, training provided. Location: Hinjewadi/Kothrud, Pune."
"45aef6b6-00e1-4a31-be0a-bb697e7a8cbc","Vibs Na Shop","Shop Assistant","Showroom Salesman","Role is counter salesman, Showroom Salesman is more specific than Shop Assistant","Counter salesman at shop. Urgent requirement."
"eff6e17f-d903-4f08-8a61-e7cb5d99500f","Kulkarni Placement","Warehouse Worker","Stock Keeper","Description says Store Keeper, Stock Keeper is the matching specific type","Store Keeper."
"88d2d579-51cf-4bce-a0fd-1aef92aa733b","Madhukar Herwade","Office Assistant","Other","Purchase Officer is a procurement/management role, not general office assistant work","Purchase Officer. Salary as per experience. WhatsApp resume only."
"d060241d-aaed-46df-a655-e337f6735bc5","S.m.care services","Office Assistant","Elder Care","Company provides home health care services, Elder Care is the correct job category","Home health care services"
"d8444d22-c21b-4291-bbe4-0d9df5f80b87","Public Placement Services","Sales","Telecaller","Role is Telesales (phone-based selling), better classified as Telecaller","🚨Urgent Hiring for Telesales

📌 Easy Process - Dhandha AI

🎓 Qualification :- HSC / Graduate

💼Experience :- 6 months experienced in Sales 

🗣️Communication:-  Average English communication and Hindi, Marathi 

💸Salary:- up to 30k inhand depends on your interview + Unlimited Incentives 

🏜️Week off :- Sunday Fixed Off 
📍Location:- Ghansoli"
"38a7d089-9d5c-424e-b1ac-8ce7e75afb1e","Walstar Technologies","Sales","Business Development","Role is Business Development Associate (BDA), not a sales role","Business Development Associate (BDA). Female candidates only. Any Graduate. Passout 2022-2025. Freshers & experienced."
"de4dbab9-5a8b-49af-b6e5-1cf0af746890","Mumbai International Airport","Cleaner","Housekeeping","Role is housekeeping (terminal/toilet/cabin cleaning), Housekeeping is more specific than Cleaner","Housekeeping. Terminal, toilet & cabin cleaning. Permanent job. Age 18-45. PF, medical insurance, gratuity. Contact: HR Raj Sir."
"48857845-05ad-412b-8960-aafb231a54fa","Tata Motors Limited","Other","Worker","Manufacturing company hiring 12th/ITI candidates, Worker is the appropriate type","12th pass or ITI (min 40%). Age limit 23. Free bus, canteen, medical insurance, uniform & books. Contact: Bhushan Bhalerao. No fees. Interview: February full month."
"82cdb48f-a48e-43e3-acb3-5743c47ed5ee","Ankit","Sales","Insurance Agent","Role is specifically insurance sales executive, Insurance Agent is the specific type","सेल्स एक्झिक्युटिव्ह – इन्शुरन्स प्रोसेस
आम्ही आमच्या इन्शुरन्स सेल्स टीममध्ये उत्साही उमेदवारांना शोधत आहोत. फ्रेशर्स आणि अनुभवी दोन्ही उमेदवारांचे स्वागत आहे.
शिफ्ट: ९:३० ते ६:३० | १ रोटेशनल वीक ऑफ
वय: १८ ते ३२ वर्षे | जागा: ५०
भाषा: हिंदी | मराठी | इंग्रजी
------------------------------------
Sales Executive – Insurance Process
We are looking for energetic and motivated individuals to join our Insurance Sales team. Freshers and experienced candidates both are welcome.
Salary:
Shift: 9:30 AM – 6:30 PM | 1 Rotational Week Off
Age: 18 to 32 Years | Vacancies: 50
Languages: Hindi | Marathi | English"
"e5cbe66a-5ce2-46c6-828b-52ecb9cb9393","Kolhapur Office","Peon","Office Boy","Description says Office Boy, which is a distinct type from Peon","Office Boy. Training provided. कोल्हापूर."
"554a86ad-dfff-498f-bcc1-96a5e270d59e","Kulkarni Placement","Warehouse Worker","Clerk","Description says Store Clerk, Clerk is the correct type for a clerical store role","Store Clerk. MIDC मिरज."
"310f12d5-ce44-4828-8894-c1280fd754b3","H. Mane Security","Security Guard","Supervisor","Role is Security Supervisor (managing security guards), not a guard position","Security Supervisor. 8 hrs, 26 days. Age 25-45. Ex-serviceman priority. Food facility. दुसरा संपर्क: Arjun Patil 8421937939."
"42f5c312-dcbc-4548-8a7c-7496d6905811","Future Creation IT Services","Other","Office Assistant","Service Executive is an office-based customer service role, Office Assistant fits best","सर्विस एक्झिक्युटिव. तामजाई नगर, सातारा. Graduate किंवा MBA. फ्रेशर्स किंवा अनुभवी. दुसरा संपर्क: 7083670809"
"dcde7ed5-e091-410b-8531-09f55da08320","Shetty Infraservices Pvt Ltd (Yogesh Pawar)","Technician","HVAC Technician","Description explicitly says HVAC Technician, which is a more specific type available","HVAC Technician. Shetty Infraservices Pvt Ltd. Location: Dadar, Ghansoli, BKC. ITI (RAC) required."
"7bdfea3e-4301-4114-bc49-98c5726879aa","Bharat pay company","Sales","Field Worker","Role is field-based QR code registration and sound box deployment, not conventional sales","भारत पे Qr कोड कंपनीमध्ये 
Qrकोड रजिस्ट्रेशन/ साऊंड बॉक्स/ लोन /रिव्हिजिट या कामासाठी इच्छुक उमेदवारांची भरती सुरू आहे 
फिल्ड वर्क आहे 
पर Qr कोड 500 रुपये पेमेंट आहे (स्लॅब नुसार)"
"254ab65f-7911-4b80-9c80-43e7e7b0d2ba","Sizzelers Enterprises","Other","Technician","Desktop Service Engineer is a technical IT support role, Technician is the closest match","डेस्कटॉप सर्व्हिस इंजिनियर. 2 वर्ष अनुभव आवश्यक, फ्रेशर्स Not Allowed. पुरुष/महिला. 15 वी लेन, एस गॅस एजेन्सी जवळ, जयसिंगपूर - 416101."
"a22c034d-5216-4902-9420-c603b6d4b703","सहयोग मल्टीस्टेट क्रेडिट को-ऑपरेटिव्ह सोसायटी","Bank Staff","Collection Agent","Pigmy Agent is a daily collection agent role, Collection Agent is the correct type","पिग्मी एजंट. विश्रामबाग सांगली शाखा."
"92d07474-92cf-48fb-9a6f-49f0290ede51","Sofi Sonawne","Cleaner","Housekeeping","Description says Housekeeping, not general cleaning; Housekeeping is more specific","Housekeeping पाहिजे. Food accommodation provided. Fresher/experience both accepted."
"41fa10e6-6702-451f-b300-53ade3cd60af","Sofi Sonawne","Cleaner","Housekeeping","Description says Housekeeping, not general cleaning; Housekeeping is more specific","Housekeeping पाहिजे. Food accommodation provided. Fresher/experience both accepted."
"2ed6514a-2036-42b3-8820-74c800b24143","Suraj Minachekar","Peon","Office Boy","Description says Office Boy, which is a distinct type from Peon","Office Boy. Kawala Naka Kolhapur."
"fdc21c41-0105-4b9c-a4d7-c7cd8d9d3683","Shetty Infraservices Pvt Ltd (Yogesh Pawar)","Operator","DG Operator","Description explicitly says DG Operator, which is a specific type available","DG Operator. Shetty Infraservices Pvt Ltd. Location: Ghansoli. ITI / Diploma required."
"2a11aed4-8f5f-4984-ae31-b0e956523cad","Shetty Infraservices Pvt Ltd (Yogesh Pawar)","Operator","BMS Operator","Description explicitly says BMS Operator, which is a specific type available","BMS Operator. Shetty Infraservices Pvt Ltd. Location: BKC, Andheri, Ghansoli, Churchgate, Wadala, Rabale. ITI / Diploma required."
"cac853fe-9bc6-4268-84d8-26a934983672","ISS Facility Services","Mechanic","Fitter","Description says Fitter (ITI qualification), Fitter is a distinct manufacturing type","Fitter. ITI qualification. Sus-Nande Pune. Canteen + PF + ESIC + Mediclaim + Suraksha Policy. Contact: Sunil Patil."
"001c3497-b06b-41a5-8a9b-836e26062baf","Shetty Infraservices Pvt Ltd (Yogesh Pawar)","Technician","Fire Technician","Description explicitly says Fire Technician, which is a specific type available","Fire Technician. Shetty Infraservices Pvt Ltd. Location: Dadar, Ghansoli, Marol, Sakinaka. ITI / Diploma required."
"f090207a-3e79-4935-912e-583866b98001","Shetty Infraservices Pvt Ltd (Yogesh Pawar)","Other","Office Assistant","Purchase Executive is an office-based procurement role, Office Assistant is the closest match","Purchase Executive. Shetty Infraservices Pvt Ltd. Location: Dadar. Graduate with Experience required."
"a2f9c747-07ff-4cf9-bbc6-46fe6f3d268a","Plasto कंपनी (BT HR SERVICE)","Worker","Packing Worker","Role is specifically material packing work, Packing Worker is more accurate","मटेरियल पॅकिंग काम. वाडी, नागपूर. 8 तास काम + ओव्हरटाइम. बेनिफिट्स: PF, ESIC, मंथली इन्सेन्टिव्ह, वीकली ऑफ, ओव्हरटाइम. डॉक्युमेंट: आधार कार्ड, पॅन कार्ड, बँक पासबुक, 2 फोटो. फ्री जॉब - कोई चार्जेस नाही. तुरंत जॉइनिंग."
"25137fb2-1a86-4349-9915-e973383733c0","Sizzelers Enterprises","Technician","Electronics Technician","CCTV Engineer requires electronics/surveillance technical knowledge, Electronics Technician fits best","CCTV इंजिनियर. 2 वर्ष अनुभव आवश्यक, फ्रेशर्स Not Allowed. पुरुष/महिला. 15 वी लेन, एस गॅस एजेन्सी जवळ, जयसिंगपूर - 416101."
"36e3f626-c22b-445b-85ad-b458f2b118d3","CreditAccess Grameen Limited","Sales","Loan Agent","Role is Relationship Officer for home/LAP loans, Loan Agent is the correct type","Relationship Officer (स्थानिक रोजगाराच्या संधी). LAP/Affordable Housing. वार्षिक कामगिरी बोनस, इंधन भत्ता. LAP/परवडणाऱ्या गृहकर्ज उत्पादनांमध्ये 1-5 वर्षांचा अनुभव. DL/LLR सह दुचाकीवाहन अनिवार्य. ग्रामीण भागात प्रवास करण्यास तयार असावे. Plot No 11 बालाजीनगर, Gate No 3, कुपवाड Road, सांगली - 416406."
"fef80cc3-6d67-4b70-8a2d-82e8146c221b","Sizzelers Enterprises","Peon","Office Boy","Description says Office Boy, which is a distinct type from Peon","ऑफिस बॉय. फ्रेशर्स / 1 वर्ष अनुभव. पुरुष/महिला. 15 वी लेन, एस गॅस एजेन्सी जवळ, जयसिंगपूर - 416101."
"f6253978-1794-44ca-bb8f-487fb5ad6656","Vishrambagh Corporate Office","Engineer","Software Developer","Role is for MCA/Computer Engineer in corporate environment, Software Developer is more specific","MCA / Computer Engineer. Corporate environment. Vishrambagh Sangli."
"1a173970-8c25-426c-bdfa-07521b369d35","Shetty Infraservices Pvt Ltd (Yogesh Pawar)","Other","Supervisor","Shift Executive manages operations during a shift, Supervisor is the closest match","Shift Executive. Shetty Infraservices Pvt Ltd. Location: Ghansoli. Diploma / Degree required."
"4b3ea36d-f097-4bad-8053-252d3f0e9499","Shetty Infraservices Pvt Ltd (Yogesh Pawar)","Other","Receptionist","Help Desk role involves customer/visitor assistance, Receptionist is the closest match","Help Desk (Male only). Shetty Infraservices Pvt Ltd. Location: Mumbai Central, Andheri. Any Degree with Experience required."
"41fb3fe2-4f91-462e-9f6a-6b184836c7a1","Shetty Infraservices Pvt Ltd (Yogesh Pawar)","Housekeeping","Supervisor","Admin Executive managing housekeeping is a supervisory/admin role, not housekeeping itself","Admin Executive (Housekeeping). Shetty Infraservices Pvt Ltd. Location: Ghansoli. Any Degree / Housekeeping Field Experience required."
"018ccf95-c1a4-4ace-805a-dff6146f65f3","Airport HR","Other","Receptionist","Counter staff handles ticketing and passenger inquiries, Receptionist is the closest match","काउंटर स्टाफ - एअरपोर्ट

एअरपोर्टवर मोफत नोकरी – थेट भरती सुरू!
विमान वाहतूक क्षेत्रात करिअर घडवण्याची संधी!
नोकरीचे ठिकाण: मुंबई आंतरराष्ट्रीय विमानतळ / नवी मुंबई आंतरराष्ट्रीय विमानतळ

सुविधा: मोफत निवास, कॅन्टीन, PF व ESI, गणवेश, मोफत प्रशिक्षण, ओव्हरटाईम भत्ता, बढतीची संधी

पात्रता: पुरुष/महिला, फ्रेशर व अनुभवी, वय 19-40, SSC/HSC/डिप्लोमा, कामाचा वेळ 8 तास"
"2289cd1a-3cd1-4ce2-a8ec-7e9b15be48b3","Airport HR","Kitchen Helper","Waiter","Food counter service involves serving food to customers, Waiter is more accurate than Kitchen Helper","फूड काउंटर - एअरपोर्ट

एअरपोर्टवर मोफत नोकरी – थेट भरती सुरू!
विमान वाहतूक क्षेत्रात करिअर घडवण्याची संधी!
नोकरीचे ठिकाण: मुंबई आंतरराष्ट्रीय विमानतळ / नवी मुंबई आंतरराष्ट्रीय विमानतळ

सुविधा: मोफत निवास, कॅन्टीन, PF व ESI, गणवेश, मोफत प्रशिक्षण, ओव्हरटाईम भत्ता, बढतीची संधी

पात्रता: पुरुष/महिला, फ्रेशर व अनुभवी, वय 19-40, SSC/HSC/डिप्लोमा, कामाचा वेळ 8 तास"
"3723c0fd-7e37-4f51-83c5-ac858e422652","Airport HR","Other","Clerk","Ticketing staff handles ticket booking and check-in processing, Clerk is the closest match","टिकिटिंग स्टाफ - एअरपोर्ट

एअरपोर्टवर मोफत नोकरी – थेट भरती सुरू!
विमान वाहतूक क्षेत्रात करिअर घडवण्याची संधी!
नोकरीचे ठिकाण: मुंबई आंतरराष्ट्रीय विमानतळ / नवी मुंबई आंतरराष्ट्रीय विमानतळ

सुविधा: मोफत निवास, कॅन्टीन, PF व ESI, गणवेश, मोफत प्रशिक्षण, ओव्हरटाईम भत्ता, बढतीची संधी

पात्रता: पुरुष/महिला, फ्रेशर व अनुभवी, वय 19-40, SSC/HSC/डिप्लोमा, कामाचा वेळ 8 तास"
"13b305e4-58c5-4adf-8c77-59b09c6dda2c","Vishrambagh Corporate Office","Sales","Marketing","Description says Marketing Officer, which is a marketing role not sales","Marketing Officer. Corporate environment. Vishrambagh Sangli."
"510bd0df-6cf7-4e40-aa39-469a55ae9097","Airport HR","Hotel staff","Steward","Cabin Crew (air hostess/steward) is best matched to Steward in the Hospitality category","कॅबिन क्रू - एअरपोर्ट

एअरपोर्टवर मोफत नोकरी – थेट भरती सुरू!
विमान वाहतूक क्षेत्रात करिअर घडवण्याची संधी!
नोकरीचे ठिकाण: मुंबई आंतरराष्ट्रीय विमानतळ / नवी मुंबई आंतरराष्ट्रीय विमानतळ

सुविधा: मोफत निवास, कॅन्टीन, PF व ESI, गणवेश, मोफत प्रशिक्षण, ओव्हरटाईम भत्ता, बढतीची संधी

पात्रता: पुरुष/महिला, फ्रेशर व अनुभवी, वय 19-40, SSC/HSC/डिप्लोमा, कामाचा वेळ 8 तास"
"1253b606-32fb-48aa-a788-2b7551513805","Airport HR","Office Assistant","Security Guard","Passport checking staff performs security/immigration control, not general office work","पासपोर्ट चेकिंग स्टाफ - एअरपोर्ट

एअरपोर्टवर मोफत नोकरी – थेट भरती सुरू!
विमान वाहतूक क्षेत्रात करिअर घडवण्याची संधी!
नोकरीचे ठिकाण: मुंबई आंतरराष्ट्रीय विमानतळ / नवी मुंबई आंतरराष्ट्रीय विमानतळ

सुविधा: मोफत निवास, कॅन्टीन, PF व ESI, गणवेश, मोफत प्रशिक्षण, ओव्हरटाईम भत्ता, बढतीची संधी

पात्रता: पुरुष/महिला, फ्रेशर व अनुभवी, वय 19-40, SSC/HSC/डिप्लोमा, कामाचा वेळ 8 तास"
"fac07cb8-c880-4207-9042-ee618443a6f5","Madhukar Herwade","Supervisor","Foreman","Production Manager oversees manufacturing operations, Foreman is more specific for production floor management","Production Manager. Salary as per experience. WhatsApp resume only."
"ae4cb36e-f884-425e-b7fa-2d7414abe645","Forvision tech pvt Ltd","Marketing","Business Development","Role is Business Development with data analysis, not marketing","Business development 
Data analysis 
Portal handling"
"354b0241-c90f-4c91-9361-882380ab72be","Kulkarni Placement","Supervisor","Site Engineer","Civil Supervisor in construction field is better classified as Site Engineer","Civil Supervisor. बाहेरगावी राहणे, जेवण सोय."
"2768104a-d5fb-44fa-a4ad-c043b375914f","रोहन मुगळे","Field Worker","Loan Agent","Role is selling Bharat Pe QR and loans, Loan Agent is more specific than Field Worker","Bharat Pe Business QR and Loan selling"
"bce26980-eca8-488e-a57d-678279352cfb","Sangli Restaurant","Waiter","Steward","Restaurant Captain is a supervisory front-of-house role, Steward is more accurate than Waiter","Captain. Pure Veg. दुसरा संपर्क: 7888330992."
"76189824-be38-4c3c-9225-30aa32e90509","Sangli Restaurant","Waiter","Steward","Description says Steward, which is a distinct type from Waiter","Steward. Pure Veg. दुसरा संपर्क: 7888330992."
"2b61e473-7dd2-4c58-a05b-86b9164322fe","Sofi Sonawne Restaurant","Cook","Chef","Role is Chinese Chef, Chef is the more specific and accurate type","Chinese Chef. Restaurant. Free food & accommodation."
"1bf63fd2-bc46-4454-9671-0448cc8234f2","Sofi Sonawne Restaurant","Cleaner","Housekeeping","Description says Housekeeping at restaurant, Housekeeping is more specific than Cleaner","Housekeeping. Restaurant. Free food & accommodation."
"5a79ec85-a701-46c3-9dee-979e602530df","Sofi Sonawne Restaurant","Helper","Kitchen Helper","Restaurant helper in food service context is better classified as Kitchen Helper","Helper. Restaurant. Free food & accommodation."
"0beed474-0e81-459d-9f2e-10e491551a4d","Sofi Sonawne Restaurant","Helper","Kitchen Helper","Restaurant helper in food service context is better classified as Kitchen Helper","Helper. Restaurant. Free food & accommodation."
"9224b58a-1a25-4b6c-b818-1c5c77b2d5d7","Sagar Jadhav (Kagal Company)","Warehouse Worker","Quality Inspector","Role is quality checking of finished cloth, Quality Inspector is more accurate","Final cloth checking in reputed company. Salary after interview."
"1764bbc9-1732-4149-b270-ed4d28e9947e","Madhukar Herwade","Peon","Office Boy","Description says Office Boy, which is a distinct type from Peon","Office Boy. Salary as per experience. WhatsApp resume only."
"3812143c-7296-492c-a099-00a1dcf93927","Bhavya Agencies","Accountant","Accounts Executive","Role is Tally Operator - data entry/billing rather than full accounting, Accounts Executive is more appropriate","Tally Operator. Shiroli."
"36888fdf-bc57-47a5-8c42-f6e511ba920a","A to Z Furniture","Shop Assistant","Showroom Salesman","Role is working in a furniture showroom, Showroom Salesman is more specific","Furniture showroom worker. Full time / part time. उजळाईवाडी."
"ba9e50d2-d729-42c8-a62b-3cc2c94c07f2","A to Z Furniture","Driver","Tempo Driver","Description says Tempo Driver, which is a more specific type than Driver","Tempo Driver. उजळाईवाडी."
"f1356f08-d73e-4dbe-bcf6-9631e961c68c","Ujalaiwadi Office","Peon","Office Boy","Description says Office boy with document transport and office maintenance, Office Boy is more accurate","Office boy. Documents transportation, bank/post/courier work, office maintenance & cleanliness. 9am-6pm. Ujalaiwadi, Kolhapur. Salary negotiable."
"66309bb8-1e22-46ad-9a9f-ba7cc288fe10","सूर्या हॉस्पिटल","Cleaner","Ward Boy","Hospital मावशी/Ward Boy is a hospital support role, Ward Boy is more accurate than Cleaner","मावशी / वॉर्ड बॉय. कोंडाओळ चौक, सुभाष रोड, लक्ष्मीपुरी, कोल्हापूर. दुसरा संपर्क: 0231 2644100."
"9e7c0683-5199-4d12-b391-a89daa45c2a9","ISS Facility Services","Operator","HVAC Technician","Role is HVAC Operator requiring RAC/Mechanical qualification, HVAC Technician is more specific","HVAC Operator. ITI (RAC), Diploma or BE Mechanical. Sus-Nande Pune. Canteen + PF + ESIC + Mediclaim + Suraksha Policy. Contact: Sunil Patil."
"b45810e5-72a6-4826-a43e-c508b6274425","ISS Facility Services","Operator","BMS Operator","Description explicitly says BMS Operator, which is a specific type available","BMS Operator. ITI/Diploma/BE Electrical/Electronics. Sus-Nande Pune. Canteen + PF + ESIC + Mediclaim + Suraksha Policy. Contact: Sunil Patil."
"c7e89f11-162f-4d48-8b1e-4db09e73544a","Kulkarni Placement","Accountant","Accounts Executive","Role is Accounts Clerk (Tally), Accounts Executive is more appropriate for a clerical accounts position","Accounts Clerk. Tally आवश्यक. MIDC मिरज. थर्ड पार्टी जॉब, चार्जेस नाहीत."
"555f2edb-d92c-40de-895f-79c92a74cb6c","Sofi Sonawne Restaurant","Cook","Chef","Role is Chinese Chef, Chef is the more specific and accurate type","Chinese Chef. Restaurant. Free food & accommodation."
"67401589-3574-407e-90c5-d6de0b769196","Sofi Sonawne Restaurant","Cleaner","Housekeeping","Description says Housekeeping at restaurant, Housekeeping is more specific than Cleaner","Housekeeping. Restaurant. Free food & accommodation."
"c18fda98-f1e6-441c-90ab-16562be1e07a","Madhukar Herwade","Other","Collection Agent","Recovery Officer collects outstanding dues, Collection Agent is the correct type","Recovery Officer. Salary as per experience. WhatsApp resume only."
"4d4f0e9c-84c0-4fc9-bacb-e0df9f74989f","सूर्या हॉस्पिटल","Technician","OT Technician","Description explicitly says OT Technician, which is a specific healthcare type available","OT Technician. कोंडाओळ चौक, सुभाष रोड, लक्ष्मीपुरी, कोल्हापूर. दुसरा संपर्क: 0231 2644100."
"195a3dd8-466a-4751-8139-427aecdf7589","Sofi Sonawne","Cook","Chef","Role is Chinese Chef, Chef is the more specific and accurate type","Chinese Chef पाहिजे. Food accommodation provided. Fresher/experience both accepted."
"2ff5de3c-1c8c-49b9-8961-6fed702b75d9","Sofi Sonawne","Cook","Chef","Role is Chinese Chef, Chef is the more specific and accurate type","Chinese Chef पाहिजे. Food accommodation provided. Fresher/experience both accepted."
"4a70318a-1e8e-43c4-8d0d-99c3b33f1505","Kolhapur Car Showroom","Other","Mechanic","Car service staff at automobile showroom is best classified as Mechanic","Car service staff (Gents). Reputed showroom. 8 hrs duty, 26/27 days. Salary + incentive. दुसरा संपर्क: 7776885007."
"0604438c-1e34-40d5-bb63-c8313ff86270","Saloni hande","Warehouse Worker","Packing Worker","Role is picker/packer with scanning in Amazon store, Packing Worker is more specific","Amzon store aahe 
Store madhi picker packer cha job rahil 
Scanning Packing Loading unloading"
